starid,rarad,decrad,field,tile,seqn,period_reqb,period_r,period_b,magave_r,magave_b,magave_bminusr,magave_kv,magave_kr,magave_kvminuskr,amp_r,amp_b,amp_bminusr,amp_reqb,suprsa_r,suprsa_b,chi2r_r,chi2r_b,sig_r,sig_b,varindex,classification,points_total,points_concurrent,points_r,points_b
44704475,1.34813,-1.20238,1,4659,2151,0.0,0.324708,0.324707,-4.682,-4.66,0.022,19.656,19.374,0.282,0.352,0.437,85.0,24.13,0.85,0.94,2.38,4.0,0.174,0.244,0.126,2,1131,450,458,1095
44704124,1.34764,-1.20135,1,4659,1800,0.0,0.583265,0.583258,-4.65,-4.463,0.187,19.823,19.376,0.447,0.532,0.927,395.0,74.17,0.57,0.76,0.83,3.02,0.222,0.414,0.108,1,1131,455,466,1107
44703767,1.34838,-1.20167,1,4659,1443,0.0,0.564112,0.564111,-5.148,-5.137,0.011,19.181,18.91,0.271,0.568,0.512,-56.0,9.79,1.0,1.25,4.4,6.6,0.183,0.244,0.152,1,1131,205,210,774
44703441,1.34979,-1.20188,1,4659,1117,1.08,0.24074,0.23813,-5.096,-5.142,-0.046,19.186,18.972,0.214,0.588,0.235,-353.0,60.02,0.68,2.12,2.69,5.94,0.261,0.319,0.131,10,1131,23,23,748
44702889,1.34767,-1.20189,1,4659,565,0.0,1.284901,1.284908,-5.972,-6.353,-0.38,18.035,18.156,-0.12,0.435,0.447,12.0,2.8,0.78,1.12,1.15,2.63,0.086,0.094,0.113,10,1131,464,471,1122
44709949,1.34931,-1.1995,1,4661,1279,4.57,0.170882,0.163063,-4.912,-4.641,0.27,19.63,19.099,0.531,0.279,-0.022,-301.0,1.0,0.72,1.53,1.49,2.6,0.179,0.323,0.12,10,1134,41,41,514
44709252,1.34967,-1.19968,1,4661,582,4.74,0.108286,0.103149,-5.697,-5.806,-0.108,18.533,18.382,0.15,0.171,0.785,614.0,356.88,0.73,2.13,1.68,5.82,0.156,0.359,0.139,10,1134,24,24,915
44709230,1.3477,-1.19992,1,4661,560,0.0,0.580624,0.580624,-5.597,-5.638,-0.04,18.689,18.47,0.219,0.287,0.525,238.0,82.94,0.76,0.9,1.33,1.68,0.222,0.268,0.101,10,1134,443,456,1057
44708896,1.34943,-1.19963,1,4661,226,0.22,0.333197,0.332436,-6.62,-7.024,-0.403,17.368,17.512,-0.143,0.099,0.057,-42.0,41.78,1.2,1.45,1.38,1.66,0.072,0.091,0.126,10,1134,327,339,1028
44708687,1.34945,-1.19975,1,4661,17,0.0,11.860836,11.859911,-9.839,-9.589,0.25,14.686,14.175,0.51,0.703,1.074,371.0,52.64,1.66,1.47,83.33,155.19,0.2,0.302,10.04,4,1134,327,340,1040
