fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3443,26,278,48823.6441,300.0,2.3711,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,13812.0,7.825,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,14905.0,7.577,2418,0
1,3443,26,280,48823.6537,300.0,2.2826,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,13306.0,7.397,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,14477.0,7.446,2418,0
1,3443,26,282,48823.6634,300.0,2.1976,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,12926.0,7.91,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,14302.0,7.71,2418,0
1,3443,26,310,48824.6249,300.0,2.5303,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,12022.0,4.394,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,11956.0,4.298,2418,0
1,3443,26,312,48824.6344,300.0,2.4344,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,11909.0,4.1,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,12090.0,3.824,2418,0
1,3443,26,314,48824.6443,300.0,2.3414,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,11957.0,4.143,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,12006.0,3.918,2418,0
1,3443,26,341,48825.6498,300.0,2.2676,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,10042.0,4.126,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8875.0,3.878,2418,0
1,3443,26,343,48825.6595,300.0,2.1823,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,9752.0,4.381,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8678.0,4.13,2418,0
1,3443,26,345,48825.6695,300.0,2.1019,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,9540.0,4.331,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8586.0,4.129,2418,0
1,3443,26,369,48826.6313,300.0,2.411,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6813.0,6.061,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5109.0,6.334,2418,0
1,3443,26,373,48826.658,300.0,2.1742,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7696.0,5.614,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5989.0,5.837,2418,0
1,3443,26,406,48828.7526,300.0,1.562,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6856.0,5.174,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4980.0,5.135,2418,0
1,3443,26,420,48828.8234,300.0,1.3337,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7433.0,5.276,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4732.0,5.114,2418,0
1,3443,26,423,48829.623,300.0,2.4129,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7311.0,3.688,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5427.0,3.731,2418,0
1,3443,26,443,48829.7514,300.0,1.5562,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,10189.0,3.825,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8231.0,3.632,2418,0
1,3443,26,450,48829.8266,300.0,1.3232,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,10950.0,5.409,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5138.0,5.327,2418,0
1,3443,26,452,48831.6285,300.0,2.3099,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6460.0,9.05,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,-99.0,-99.0,-99.0,-99.0,0,0
1,3443,26,472,48831.7314,300.0,1.6204,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,5453.0,6.02,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4825.0,6.124,2418,0
1,3443,26,485,48831.8056,300.0,1.3596,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,4656.0,3.85,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,3997.0,3.674,2418,0
1,3443,26,487,48831.8282,300.0,1.3095,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7857.0,5.496,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5147.0,5.545,2418,0
1,3443,26,488,48832.6264,300.0,2.3036,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6136.0,5.584,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4984.0,5.813,2418,0
1,3443,26,511,48832.8179,300.0,1.3242,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,-99.0,-99.0,-99.0,-99.0,0,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4152.0,5.614,2418,0
